No Data,Label Asli,Prediksi SVM,Status
0,Maine Coon,Maine Coon,Benar
1,Maine Coon,Maine Coon,Benar
2,Maine Coon,Maine Coon,Benar
3,Persia,Persia,Benar
4,Persia,Persia,Benar
5,Persia,Persia,Benar
6,Persia,Persia,Benar
7,Maine Coon,Persia,Salah
8,Persia,Persia,Benar
9,Persia,Persia,Benar
10,Persia,Persia,Benar
11,Persia,Persia,Benar
12,Maine Coon,Maine Coon,Benar
13,Persia,Persia,Benar
14,Maine Coon,Persia,Salah
15,Persia,Persia,Benar
16,Maine Coon,Maine Coon,Benar
17,Maine Coon,Maine Coon,Benar
18,Persia,Persia,Benar
19,Persia,Persia,Benar
20,Maine Coon,Maine Coon,Benar
21,Maine Coon,Maine Coon,Benar
22,Persia,Persia,Benar
23,Persia,Persia,Benar
24,Maine Coon,Maine Coon,Benar
25,Persia,Persia,Benar
26,Persia,Persia,Benar
27,Maine Coon,Maine Coon,Benar
28,Persia,Persia,Benar
29,Maine Coon,Maine Coon,Benar
